1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
33.59;43.65;87.28;57.17;36.74;28.9;32.71;33.75;32.75;26.49;56.19;43.63;44.59;36.35;56.88;27.49;59.86;29.07;26.14;40.99;26.21;38.04;29.78;267.34;85.35;55.48;43.47;39.5;34.48;31.58;27.78;18.31;16.14;17.79;133.62;25.27;121.63;65.04;114.45;94.98;90.54;87.61;83.06;57.2;55.28;55.03;15.33;20.96;9.49;17.6
29.81;34.15;70.36;45.66;29.08;23.93;27.34;25.6;38.68;29.25;62.69;33.64;55.69;27.38;50.46;26.25;46.58;20.88;17.19;38.59;25.44;36.65;22.76;1288.85;122.41;42.5;29.03;24.99;21.74;19.74;16.98;12.17;10.91;11.73;274.62;17.34;137.88;69.56;131.04;105.89;105.96;61.47;96.58;36.56;40.21;47.02;11.18;15.94;7.04;12.89
19.55;25.69;51.15;41.87;20.05;16.81;18.59;19.21;18.13;14.31;26.53;30.62;22.14;19.15;25.95;15.9;32.01;16.84;14.53;20.64;15.02;22.09;15.78;100.65;36.24;26.46;24.71;22.5;19.19;18.45;16.41;12.02;10.52;12.88;54.54;15.04;50.28;34.1;45.98;43.37;40.77;40.49;37.5;28.31;26.24;30.39;11.31;15.65;6.52;12.56
18.03;24.59;80.85;34.77;20.5;19.42;18.47;17.21;17.75;15.15;44.53;28.93;33.61;21.13;49.26;14.65;61.9;21.62;19.22;48.41;15.87;21.31;19.12;1944.59;432.62;282.02;36.25;27.2;23.39;21.05;17.33;10.55;9.03;10.51;569.1;20.4;398.51;99.85;456.98;421.75;302.51;254.99;281.52;46.9;60.32;37.61;7.97;13.13;5.01;10.95
27.1;35.25;73.3;37.22;28.29;26.54;25.61;21.4;26.27;22.6;56.95;32.89;43.78;32.01;66.66;21.2;61.09;30.03;26.49;52.78;22.57;29.29;30.15;342.96;128.22;70.46;43.77;32.96;29.76;25.47;20.94;11.86;11.6;11.52;183.83;21.88;148.66;80.67;155.24;131.28;110.56;103.36;100.03;60.4;59.67;56.69;7.76;11.89;5.92;10.96
17.74;21.02;35.59;24.37;16.99;13.37;15.83;15.65;16.92;14.43;28.67;18.09;23.67;15.69;24.75;15.59;22.22;14.51;12.21;19.61;13.85;17.22;13.72;117.92;33.13;22.48;18.52;17.98;15.35;14.36;12.72;9.05;8;8.6;51.61;12.07;44.68;27.29;40.61;36.66;35.35;34.2;32.84;23.1;23.1;33.77;8.46;11.54;5.58;9.81
21.53;21.12;44.59;28.07;19.79;13.7;18.1;19.19;20.3;17.12;39.64;18.57;31.12;17.33;30.47;18.38;22.95;14.93;12.48;21.11;15.25;20.1;14.94;211.27;38.88;24.3;19.6;19.4;16.67;15.4;13.77;9.97;8.67;9.04;68.86;13.04;54.68;31.66;51.33;39.58;40.18;35.28;37.67;25.72;24.97;39.08;9.45;12.34;6.01;10.79
26.75;25.37;70.29;39.51;28.07;14.79;25.68;22.97;24.4;22.59;60.66;20.35;54.37;21.47;48;21.28;26.16;15.62;13.67;28.51;18.25;22.58;17.83;332.86;48.97;27.94;20.79;23.16;18.98;17.76;17;10.42;9.14;9.34;72.19;15.34;79.15;44.41;59.72;46.99;48.53;41.4;50.84;31.99;30.14;60.17;9.66;13.86;6.12;12.3
25.86;25.6;67.09;38.88;23.88;12.81;21.63;22.02;31.77;21.63;60.14;17.61;52.65;15.24;39.21;26.13;21.33;13.95;11.77;18.91;14.28;26.09;13.08;957.53;33.69;22.08;17.94;17.12;15.14;13.91;12.07;8.59;7.61;8.3;67.32;11.18;68.31;27.79;46.14;44.57;38.49;34.47;40.11;23.22;27.57;50.12;8.12;11.17;5.28;8.83
27.48;27.98;53.21;37.09;26.68;16.01;24.9;25.46;28.77;23.69;45.64;21.29;39.69;22.05;35.57;26.16;25.16;16.98;13.76;25.16;20.47;27.27;17.95;200.45;43.12;27.02;23.16;24.45;20.06;19.15;16.61;12.32;9.81;9.85;73.24;15.66;61.87;37.24;56.01;46.53;47.87;40.89;44.67;30.8;29.52;54.18;11.28;15.84;6.59;13.48
