"data";"workflow";"time"
"n10";"w275";48.4099999999997
"n10";"w280";33.3699999999997
"n10";"w273";34.8999999999997
"n10";"w277";24.6499999999997
"n10";"w287";18.7700000000006
"n10";"w284";24.3100000000006
"n10";"w282";20.1400000000006
"n10";"w286";18.2500000000006
"n10";"w283";22.9700000000006
"n10";"w288";25.8600000000006
"n10";"w281";21.9900000000006
"n10";"w285";19.5700000000006
"n10";"w295";53.7399999999993
"n10";"w292";106.909999999999
"n10";"w290";78.7799999999993
"n10";"w294";89.2599999999993
"n10";"w291";105.989999999999
"n10";"w296";56.1999999999993
"n10";"w289";81.7399999999993
"n10";"w293";46.8499999999993
"n10";"w303";37.1299999999991
"n10";"w300";42.2299999999991
"n10";"w298";38.1599999999991
"n10";"w302";36.3299999999991
"n10";"w299";43.1599999999991
"n10";"w304";43.4099999999991
"n10";"w297";39.4599999999991
"n10";"w301";38.0699999999991
"n10";"w311";33.2400000000015
"n10";"w308";61.9600000000015
"n10";"w306";41.6100000000015
"n10";"w310";44.0900000000015
"n10";"w307";56.2300000000015
"n10";"w312";40.1300000000015
"n10";"w305";46.6000000000015
"n10";"w309";32.3900000000015
"n10";"w31";19.7700000000001
"n10";"w28";27.5400000000001
"n10";"w26";23.1800000000001
"n10";"w30";19.8700000000001
"n10";"w27";25.5800000000001
"n10";"w32";28.3300000000001
"n10";"w25";21.1500000000001
"n10";"w29";31.0000000000001
"n10";"w319";25.3900000000017
"n10";"w316";27.8500000000017
"n10";"w314";25.8900000000017
"n10";"w318";25.3000000000017
"n10";"w315";28.9400000000017
"n10";"w320";30.4800000000017
"n10";"w313";25.1100000000017
"n10";"w317";27.8600000000017
"n10";"w327";45.0799999999951
"n10";"w324";97.2699999999951
"n10";"w322";71.8799999999951
"n10";"w326";82.179999999995
